district_lgd_code,district_name
225,Gangtok
228,Gyalshing
226,Mangan
227,Namchi
741,Pakyong
742,Soreng
610,Ariyalur
730,Chengalpattu
568,Chennai
569,Coimbatore
570,Cuddalore
571,Dharmapuri
572,Dindigul
573,Erode
729,Kallakurichi
574,Kancheepuram
575,Kanniyakumari
576,Karur
577,Krishnagiri
578,Madurai
735,Mayiladuthurai
579,Nagapattinam
580,Namakkal
581,Perambalur
582,Pudukkottai
583,Ramanathapuram
731,Ranipet
584,Salem
585,Sivaganga
733,Tenkasi
586,Thanjavur
588,Theni
587,The Nilgiris
589,Thiruvallur
590,Thiruvarur
594,Thoothukkudi
591,Tiruchirappalli
592,Tirunelveli
732,Tirupathur
634,Tiruppur
593,Tiruvannamalai
595,Vellore
596,Viluppuram
597,Virudhunagar
501,Adilabad
690,Bhadradri Kothagudem
686,Hanumakonda
507,Hyderabad
681,Jagitial
689,Jangoan
687,Jayashankar Bhupalapally
695,Jogulamba Gadwal
685,Kamareddy
508,Karimnagar
509,Khammam
699,Kumuram Bheem Asifabad
688,Mahabubabad
512,Mahabubnagar
684,Mancherial
513,Medak
700,Medchal Malkajgiri
720,Mulugu
694,Nagarkurnool
514,Nalgonda
721,Narayanpet
680,Nirmal
516,Nizamabad
682,Peddapalli
683,Rajanna Sircilla
518,Ranga Reddy
691,Sangareddy
692,Siddipet
696,Suryapet
698,Vikarabad
693,Wanaparthy
522,Warangal
697,Yadadri Bhuvanagiri
465,Dadra And Nagar Haveli
463,Daman
464,Diu
269,Dhalai
654,Gomati
652,Khowai
270,North Tripura
653,Sepahijala
271,South Tripura
655,Unakoti
272,West Tripura
45,Almora
46,Bageshwar
47,Chamoli
48,Champawat
49,Dehradun
50,Haridwar
51,Nainital
52,Pauri Garhwal
53,Pithoragarh
54,Rudra Prayag
55,Tehri Garhwal
56,Udam Singh Nagar
57,Uttar Kashi
118,Agra
119,Aligarh
121,Ambedkar Nagar
640,Amethi
154,Amroha
122,Auraiya
140,Ayodhya
123,Azamgarh
124,Baghpat
125,Bahraich
126,Ballia
127,Balrampur
128,Banda
129,Bara Banki
130,Bareilly
131,Basti
179,Bhadohi
132,Bijnor
133,Budaun
134,Bulandshahr
135,Chandauli
136,Chitrakoot
137,Deoria
138,Etah
139,Etawah
141,Farrukhabad
142,Fatehpur
143,Firozabad
144,Gautam Buddha Nagar
145,Ghaziabad
146,Ghazipur
147,Gonda
148,Gorakhpur
149,Hamirpur
661,Hapur
150,Hardoi
163,Hathras
151,Jalaun
152,Jaunpur
153,Jhansi
155,Kannauj
156,Kanpur Dehat
157,Kanpur Nagar
633,Kasganj
158,Kaushambi
159,Kheri
160,Kushinagar
161,Lalitpur
162,Lucknow
165,Mahoba
164,Mahrajganj
166,Mainpuri
167,Mathura
168,Mau
169,Meerut
170,Mirzapur
171,Moradabad
172,Muzaffarnagar
173,Pilibhit
174,Pratapgarh
120,Prayagraj
175,Rae Bareli
176,Rampur
177,Saharanpur
659,Sambhal
178,Sant Kabir Nagar
180,Shahjahanpur
660,Shamli
181,Shrawasti
182,Siddharthnagar
183,Sitapur
184,Sonbhadra
185,Sultanpur
186,Unnao
187,Varanasi
664,Alipurduar
305,Bankura
307,Birbhum
308,Cooch Behar
310,Dakshin Dinajpur
309,Darjeeling
312,Hooghly
313,Howrah
314,Jalpaiguri
703,Jhargram
702,Kalimpong
315,Kolkata
316,Malda
319,Murshidabad
320,Nadia
303,North 24 Parganas
704,Paschim Bardhaman
318,Paschim Medinipur
306,Purba Bardhaman
317,Purba Medinipur
321,Purulia
304,South 24 Parganas
311,Uttar Dinajpur
