"year","state_name","state_code","sector","enterprise_type","activity","no_enterprises","msme_micro","msme_small","msme_medium","msme_total","non_msme","female_employees","male_employees","total_employees","formal_ann_salary","informal_ann_salary","all_ann_salary","less_than_4hours","hours_4to7","more_than_8hours","wh_not_reported","gross_value_added","per_employee_gva","per_enterprise_gva","within_hh","fixed","temporary_kiosk","no_fixed","mobile","total_outsidehh","ent_notreported","avg_gva_lessthan4hr","avg_gv_4to8hr","avg_gva_above8hr","avg_gva_all","proprietary_male","proprietary_female","proprietary_same_hh","proprietary_diff_hh","proprietary_shg","proprietary_trust","proprietary_others","proprietary_nr","perennial","seasonal","casual","operation_nr","own_management","usual_discharge","road_river_nala","not_generated_lw","local_civicauthority","authorised_ground","own_system","road_side","noprovision_thers","not_generated_sw","no_assistance","financial_loan","subsidy","machinery_equipment","skill_devlopment","marketing","raw_material","other_assistance","no_problems","power_cuts","shortage_raw_materials","fall_demand","high_cost_credit","non_recovery_financial_dues","non_available_labours","non_available_skilled_labour","labour_disputes","problems_others","not_registered","establishment_act","local_body","sales_tax_act","provident_fund_act","esc_act","stock_exchange","other_industry_act","donation_grants","major_receipt_others","not_any","data_collected","data_not_collected","no_accounts","st","sc","obc","social_groups_other","unknown"
"2016","Himachal Pradesh","02","Rural","Own Account Enterprises","Total","264500","263807","693","0","264500","0","46400","240442","286842","0","75517","75517","7.0","31.0","61.0","1.0","2572","89666.086","97240.078","67441","99257","120015","106182","206496","206493","0","54187","54710","104327","84538","84","14","2","0","1","0","0","0","98","2","0","0","1","2","13","84","1","12","31","24","5","27","93","7","0","0","0","0","0","0","48","2","1","23","3","12","1","0","0","22","57","7","5","4","0","0","0","35","0","0","100","0","4","96","6","27","14","54","0"
"2016","Himachal Pradesh","02","Rural","Establishment","Manufacturing","11680","11453","227","0","11680","0","4023","29560","33583","64209","82897","78590","","","","","384","114343.57","328767.13","285844","321690","258000","0","306960","733740","0","33720","76919","118439","112669","88","10","2","1","0","0","0","0","100","0","0","0","2","2","8","89","2","12","46","20","13","7","94","6","0","0","0","0","0","0","34","1","1","20","2","22","18","3","0","24","54","8","3","10","0","0","0","37","0","1","100","0","15","85","3","42","14","40","0"
"2016","Himachal Pradesh","02","Rural","Establishment","Trade","7903","7554","350","0","7903","0","975","24704","25679","79576","79333","79394","0.0","2.0","98.0","0.0","427","166283.73","540301.13","457046","551053","61440","0","42600","0","0","0","137582","165375","164761","92","2","6","1","0","0","0","0","100","1","0","0","2","2","13","83","6","21","25","24","1","23","85","15","0","0","0","0","0","0","59","1","0","12","1","10","2","1","0","19","27","33","11","51","1","0","0","23","0","2","98","0","55","45","3","6","18","73","0"
"2016","Himachal Pradesh","02","Rural","Establishment","Services","30887","27685","3139","18","30842","45","24412","84020","108432","143287","93184","114743","1.0","24.0","75.0","0.0","1837","169414.94","594748.63","332775","1048757","0","349067","513545","445465","0","161192","85064","189479","164254","86","10","1","1","0","1","2","0","99","1","0","0","4","3","25","68","3","6","25","19","0","47","84","16","0","0","0","0","0","0","39","1","0","15","4","7","18","5","0","28","16","4","14","5","0","0","0","77","0","1","99","0","19","81","5","10","9","76","0"
"2016","Himachal Pradesh","02","Rural","Establishment","Total","50470","46691","3715","18","50425","45","29410","138284","167695","128585","88636","103402","1.0","18.0","81.0","0.0","2649","157965.36","524866.25","334310","630280","178469","349067","492514","453993","0","105792","85201","169749","154090","87","9","2","1","0","0","1","0","99","1","0","0","3","2","19","76","3","10","30","20","3","34","86","14","0","0","0","0","0","0","41","1","0","16","3","11","16","4","0","26","27","9","11","13","0","0","0","59","0","1","99","0","24","76","4","17","12","67","0"
"2016","Himachal Pradesh","02","Rural","All","Manufacturing","83343","83116","227","0","83343","0","26443","83367","109810","64209","82766","78506","","","","","809","73672.711","97068.742","47877","142259","100966","171600","149042","595877","0","16343","42392","102474","70307","72","26","2","0","0","0","0","0","98","2","0","0","1","1","6","92","1","9","48","15","15","13","98","2","0","0","0","0","0","0","36","5","1","26","4","21","3","1","0","24","75","4","4","2","0","0","0","21","0","0","100","0","3","97","5","45","11","39","0"
"2016","Himachal Pradesh","02","Rural","All","Trade","84818","84144","674","0","84818","0","10790","100846","111636","79576","78067","78432","1.0","12.0","87.0","0.0","1272","113941.74","149968.17","95992","167088","120002","0","38126","0","0","11416","61435","114500","107362","91","7","1","1","0","0","0","0","99","1","0","0","0","2","8","90","3","22","34","29","1","12","89","11","0","0","0","0","0","0","46","0","1","25","3","16","0","0","0","21","41","17","6","16","0","0","0","39","0","1","99","0","13","88","5","19","17","59","0"
"2016","Himachal Pradesh","02","Rural","All","Services","146809","143238","3508","18","146764","45","38578","194513","233091","143287","93069","114351","6.0","24.0","68.0","1.0","3140","134711.33","213883.34","111278","276468","132134","172347","322147","289210","0","80173","79682","153864","129431","87","9","1","0","1","0","0","0","98","1","0","0","2","4","22","72","2","8","19","25","1","45","90","10","0","0","0","0","0","0","53","0","0","18","2","4","6","2","0","24","46","4","7","2","0","0","0","50","0","0","100","0","7","93","6","19","12","63","0"
"2016","Himachal Pradesh","02","Rural","All","Total","314970","310498","4409","18","314925","45","75810","378726","454537","128585","88327","102985","5.0","26.0","68.0","1.0","5221","114864.13","165761.81","85875","193482","121039","172340","303401","293365","0","58051","62209","132418","109648","84","13","2","0","1","0","0","0","98","1","0","0","1","2","14","82","2","12","31","24","5","28","92","8","0","0","0","0","0","0","47","1","1","22","3","12","4","1","0","23","52","7","6","6","0","0","0","39","0","0","100","0","8","93","5","26","13","56","0"
"2016","Himachal Pradesh","02","Urban","Own Account Enterprises","Manufacturing","6021","6021","0","0","6021","0","2542","5778","8320","0","56485","56485","","","","","75","90144.234","124564.02","91333","143441","85814","114378","0","0","0","61495","59539","101869","88896","67","23","10","0","0","0","0","0","91","9","0","0","3","5","11","81","44","12","23","6","11","5","98","1","1","0","1","0","0","0","49","0","0","26","3","8","2","1","0","22","46","35","30","4","0","0","0","21","0","0","100","0","4","96","8","30","12","50","1"
